,Lyrics
0,"['<', 'starts', '##ong', '>', '<', 'start', '##int', '##ro', '>', 'thus', 'far', ',', 'this', 'album', 'has', 'provided', 'musical', 'accompaniment', 'to', 'make', 'your', 'passing', 'pleasant', 'our', 'next', 'number', 'is', 'designed', 'to', 'drown', 'out', 'the', 'sound', 'of', 'shovel', '##s', 'music', 'to', 'be', 'buried', 'by', '<', 'end', '##int', '##ro', '>', '<', 'ends', '##ong', '>']"
1,"['<', 'starts', '##ong', '>', '<', 'start', '##cho', '##rus', '>', 'black', 'magic', ',', 'night', 'walker', '(', 'yeah', ')', 'she', 'haunt', '##s', 'me', 'like', 'no', 'other', '(', 'feel', 'like', ')', 'nobody', 'told', 'me', '(', 'i', 'don', '##t', 'know', ')', 'love', 'is', 'pain', ',', 'oh', '(', 'i', 'know', 'we', 'just', 'met', ')', 'black', 'magic', ',', 'dark', 'water', '(', 'but', 'its', 'like', ')', 'surrounds', 'me', 'like', 'no', 'other', '(', 'its', 'like', 'i', 'know', 'you', 'better', 'than', 'anyone', ')', 'she', '##s', 'got', 'my', 'heart', 'in', 'chains', '<', 'end', '##cho', '##rus', '>', '<', 'start', '##verse', '>', 'were', 'volatile', ',', 'i', 'can', '##t', 'call', 'it', ',', 'though', 'its', 'like', 'too', 'large', 'a', 'peg', ',', 'and', 'too', 'small', 'a', 'hole', '(', 'yeah', ')', 'but', 'she', 'cheat', '##s', 'and', 'i', 'catch', 'her', 'like', 'the', 'common', 'cold', '(', 's', '##nee', '##ze', ')', 'last', 'time', ',', 'i', 'broke', 'her', 'collar', 'bone', ',', 'she', '##s', 'into', '##ler', '##ab', '##l', '(', 'yeah', ')', 'all', 'i', 'know', 'is', 'that', 'the', 'sex', 'is', 'ph', '##no', '##men', '##al', ',', 'though', 'were', 'an', 'unlikely', 'pair', '(', 'yeah', ')', 'like', 'two', 'different', 'nike', 'airs', 'but', 'im', 'the', 'same', 'size', 'she', 'wears', '(', 'jordan', '##s', ')', 'so', 'i', 'think', 'were', 'soul', '##mates', 'though', '(', 'yeah', ')', 'people', 'don', '##t', 'like', 'us', 'together', ',', 'but', 'like', 'we', 'care', '(', 'not', 'me', ',', 'not', 'me', ')', 'yeah', ',', 'but', 'god', 'strike', 'me', 'dead', '(', 'yeah', ')', 'she', 'knows', 'that', 'i', 'would', 'walk', 'over', 'hot', 'coal', '##s', 'for', 'her', 'with', 'both', 'of', 'my', 'feet', 'bare', '(', 'yeah', ')', 'but', 'soon', 'as', 'i', 'ask', 'to', 'hit', '(', 'ask', 'to', 'hit', ')', 'its', 'like', 'she', 'grabs', 'a', 'switch', '(', 'grabs', 'a', 'switch', ')', 'and', 'turns', 'me', 'over', 'her', 'knee', 'cause', 'my', 'ass', 'is', 'whipped', ',', 'yeah', 'and', 'i', 'got', 'her', 'back', ',', 'but', 'im', 'spine', '##less', '(', 'yeah', ')', 'so', 'when', 'she', 'stab', '##s', 'me', 'in', 'mine', '(', 'yeah', ')', 'its', 'like', 'i', 'just', 'can', '##t', 'feel', 'the', 'knife', '(', 'what', ')', 'as', 'she', 'poke', '##s', ',', 'ja', '##bs', 'it', ',', 'and', 'slices', 'one', 'minute', ',', 'shell', 'build', 'me', 'up', '(', 'up', ')', 'the', 'next', ',', 'shell', 'push', 'me', 'round', 'probably', 'why', 'she', 'calls', 'me', '""', 'dumb', '##bell', '""', 'she', 'lifts', 'me', 'up', '(', 'yeah', ')', ',', 'then', 'puts', 'me', 'down', '(', 'huh', ')', 'but', 'i', 'am', 'under', 'her', 'thumb', '##nail', 'i', 'must', 'be', 'under', 'her', 'spell', 'its', 'like', 'look', '##in', 'right', 'into', 'a', 'gun', 'barrel', 'but', 'none', 'of', 'these', 'ho', '##es', 'can', 'fuck', 'with', 'my', 'girl', 'she', 'got', 'that', '<', 'end', '##verse', '>', '<', 'start', '##cho', '##rus', '>', 'black', 'magic', ',', 'night', 'walker', 'she', 'haunt', '##s', 'me', 'like', 'no', 'other', 'nobody', 'told', 'me', 'love', 'is', 'pain', ',', 'oh', 'black', 'magic', ',', 'dark', 'water', 'surrounds', 'me', 'like', 'no', 'other', 'she', '##s', 'got', 'my', 'heart', 'in', 'chains', '<', 'end', '##cho', '##rus', '>', '<', 'start', '##verse', '>', 'we', 'wake', 'up', ',', 'break', 'up', ',', 'make', 'up', 'like', 'maybe', '##llin', '##e', 'now', 'she', '##s', 'all', 'made', 'up', 'like', 'make', '##bel', '##ie', '##ve', 'probably', 'why', 'she', '##s', 'so', 'fake', 'to', 'me', 'but', 'what', 'the', 'fuck', '##s', 'it', 'gonna', 'take', 'for', 'me', 'to', 'make', 'her', 'see', 'strip', 'her', 'naked', 'and', 'take', 'her', 'keys', 'i', 'been', 'plan', '##nin', 'this', 'day', 'for', 'weeks', 'but', 'i', 'can', '##t', 'tell', 'if', 'im', 'wake', 'or', 'sleep', 'but', 'if', 'this', 'is', 'actually', 'happen', '##in', ',', '""', 'sucker', 'for', 'pain', '""', 'im', 'stuck', 'in', 'this', 'radioactive', 'pattern', 'but', 'her', 'by', 'her', 'mother', '##fu', '##cki', '##n', 'hairs', 'all', 'i', '""', 'imagine', 'drag', '##gin', '""', '(', 'dragon', ')', 'she', 'lung', '##es', ',', 'attacks', ',', 'and', 'scratches', 'but', 'i', 'ain', '##t', 'gonna', 'stand', 'for', 'that', 'shit', 'like', 'ka', '##ep', 'for', 'the', 'national', 'anthem', 'as', 'i', 'stab', ',', 'im', 'laugh', '##in', 'so', 'much', 'for', 'witchcraft', 'and', 'magic', 'ab', '##rac', '##ada', '##bra', 'that', ',', 'bitch', 'no', 'turn', '##in', 'back', ',', 'im', 'black', '##in', 'as', 'i', 'say', 'farewell', 'to', 'the', 'love', 'of', 'my', 'life', ',', 'i', 'cut', 'and', 'i', 'slice', 'i', 'give', 'her', 'one', 'last', 'hug', 'goodbye', 'wipe', 'the', 'blood', 'off', 'my', 'butterfly', 'knife', 'watch', 'her', 'fuck', '##in', 'die', 'right', 'in', 'front', 'of', 'my', 'eyes', 'but', 'in', 'hind', '##sight', 'think', 'i', 'just', 'wanted', 'to', 'see', 'what', 'her', 'insides', 'look', 'like', 'as', 'i', 'pop', 'another', 'five', 'vic', '##s', 'that', '##s', 'what', 'this', 'highs', 'like', 'look', 'down', ',', 'there', '##s', 'mud', 'on', 'my', 'nike', '##s', 'shovel', 'at', 'my', 'side', ',', 'blood', 'on', 'my', 'mic', 'now', 'wake', 'up', 'to', 'music', 'to', 'be', 'murdered', 'by', 'like', '<', 'end', '##verse', '>', '<', 'ends', '##ong', '>']"
2,"['<', 'starts', '##ong', '>', '<', 'start', '##verse', '>', 'before', 'i', 'check', 'the', 'mic', '(', 'check', ',', 'check', ',', 'one', ',', 'two', ')', 'i', 'give', 'it', 'a', 'extra', 'sw', '##ipe', 'with', 'a', 'l', '##ys', '##ol', 'di', '##sin', '##fect', '##ant', 'wipe', '(', 'good', 'evening', ')', 'corona', '##virus', 'in', 'effect', 'tonight', 'anti', '##se', '##ptic', '##s', 'on', 'deck', ',', 'i', 'got', 'every', 'type', '(', 'yeah', ')', 'i', 'throw', 'on', 'my', 'tu', '##x', ',', 'then', 'i', '(', 'yeah', ')', 'give', 'zero', 'fuck', '##s', ',', 'then', 'i', '(', 'yeah', ')', 'act', 'like', 'a', 'jock', '##stra', '##p', '(', 'uh', ')', ',', 'cup', 'my', 'nuts', ',', 'then', 'i', '(', 'yeah', ')', 'check', 'my', 'ball', 'hair', '(', 'what', ')', ',', 'make', 'sure', 'its', 'all', 'there', '(', 'yeah', ')', 'then', 'call', 'the', 'pal', '##lb', '##ear', '##er', '(', 'yeah', ')', 'its', 'music', 'to', 'b', 'murdered', 'by', 'again', ',', 'why', 'stop', 'over', '##kill', 'li', '##k', 'a', 'pipe', 'bomb', 'in', 'your', 'pine', 'box', 'your', '##e', 'all', 'hitch', '##ed', 'to', 'my', 'cock', '(', 'what', ')', 'went', 'from', 'punch', '##in', 'a', 'time', 'clock', 'to', 'getting', 'my', 'shot', 'then', 'treated', 'it', 'like', 'a', 'cy', '##clops', 'like', 'its', 'the', 'only', 'one', 'i', '(', 'only', 'one', 'eye', ')', 'got', 'and', 'my', 'thoughts', 'are', 'like', 'nine', '##s', 'cocked', '(', 'ch', '##k', '##ch', '##k', ')', 'every', 'lines', 'obscene', ',', 'per', '##verted', '##est', 'mind', ',', 'got', 'the', 'dirt', '##iest', 'rhyme', 'stocked', 'that', '##s', 'why', 'there', '##s', 'parental', 'advising', '(', 'vis', '##ine', ')', 'every', 'time', 'i', 'drop', '(', 'eye', 'drop', ')', 'so', 'throw', 'on', 'the', 'theme', 'to', 'alfred', ',', 'ill', 'channel', 'him', 'like', 'the', 'panama', 'canal', 'but', 'how', 'could', 'i', 'get', 'up', 'in', 'arms', 'about', 'you', 'saying', 'trash', 'is', 'all', 'that', 'i', 'put', 'out', 'bitch', ',', 'i', 'still', 'get', 'the', 'bag', 'when', 'im', 'putting', 'garbage', 'out', 'plus', ',', 'the', 'pot', '##ty', 'mouth', ',', 'im', 'not', 'about', 'to', 'wash', 'it', 'out', 'the', 'fi', '##lth', '##iest', ',', 'so', 'all', 'this', 'talk', 'about', 'im', 'washed', 'up', ',', 'how', 'prep', '##ost', '##ero', '##us', 'because', 'if', 'clean', '##liness', 'is', 'next', 'to', 'god', '##liness', 'its', 'obvious', 'that', 'its', 'impossible', 'for', 'me', 'to', 'be', 'beside', 'myself', 'and', 'im', 'bout', 'that', 'capital', 'like', 'a', 'proper', 'noun', 'still', 'on', 'top', 'the', 'pile', 'got', 'me', 'sitting', 'on', 'numbers', 'like', 'a', 'pocket', 'dial', 'quick', 'to', 'call', 'you', 'out', 'on', 'your', 'bullshit', 'don', '##t', 'make', 'me', 'give', 'that', 'cr', '##ock', 'a', 'dial', 'cause', 'if', 'i', 'do', 'it', ',', 'see', 'you', 'later', ',', 'alligator', 'made', 'it', 'out', 'the', 'trailer', ',', 'then', 'i', 'made', 'a', 'vow', 'to', 'cater', 'to', 'no', 'one', 'so', 'hate', ',', 'iv', '##e', 'gained', 'about', 'the', 'same', 'amount', 'that', '##s', 'in', 'my', 'bank', 'account', 'so', 'here', '##s', 'some', 'more', 'shit', 'for', 'you', 'to', 'complain', 'about', ',', 'i', 'say', 'the', 'bars', 'that', 'never', 'slack', '(', 'yeah', ')', ',', 'but', 'always', 'get', 'attacked', '(', 'yeah', ')', 'i', 'think', 'they', '##re', 'gunn', '##in', 'for', 'me', ',', 'its', 'start', '##in', 'to', 'feel', 'like', 'that', 'like', 'im', 'marked', ',', 'cause', 'when', 'i', 'rap', ',', 'its', 'like', 'fall', '##in', 'on', 'my', 'back', 'in', 'a', 'tar', 'pit', 'cause', 'i', 'have', 'this', 'target', 'on', 'my', 'back', '(', 'e', '##w', ',', 'yu', '##ck', ')', 'but', 'if', 'i', 'ever', 'double', '##cross', '##ed', 'my', 'fans', 'and', 'lost', 'my', 'stan', '##s', 'id', 'probably', 'pop', 'five', 'x', '##ans', '(', 'yeah', ')', 'go', 'in', 'my', 'garage', ',', 'start', 'my', 'van', 'in', '##hale', 'as', 'much', 'carbon', 'mono', '##xide', 'and', 'exhaust', 'i', 'can', 'and', 'do', '##ze', 'off', 'like', '*', 's', '##nor', '##es', '*', 'but', 'odds', 'like', 'that', ',', 'with', 'these', 'thoughts', 'i', 'have', '##s', 'like', 'a', 'giant', 'getting', 'squash', '##ed', 'by', 'ants', 'if', 'this', 'is', 'the', 'test', 'of', 'time', ',', 'id', 'pass', 'with', 'flying', 'colors', 'like', 'i', 'just', 'tossed', 'my', 'cr', '##ayo', '##ns', '(', 'tossed', 'my', 'cr', '##ayo', '##ns', ')', 'small', ',', 'medium', ',', 'and', 'large', 'size', 'cans', 'san', '##iti', '##zers', 'of', 'all', 'types', ',', 'brands', ',', 'cost', 'nine', 'bands', 'which', 'is', 'a', 'small', 'price', 'for', 'l', '##ys', '##ol', 'wipe', '##s', 'and', 'if', 'my', 'palms', 'brush', 'across', 'my', 'pants', ',', 'i', 'wash', 'my', 'hands', 'shit', ',', 'hold', 'on', ',', 'man', 'mother', '##fu', '##cker', 'happy', 'birthday', 'to', 'fuck', '(', 'sh', '##h', ',', 'quiet', ')', '<', 'end', '##verse', '>', '<', 'start', '##verse', '>', 'i', 'sit', 'in', 'silence', 'in', 'candle', '##lit', 'environments', 'sipping', 'wild', 'irish', 'while', 'getting', 'violent', 'ho', '##mic', '##idal', 'visions', 'when', 'im', 'spitting', 'like', 'this', 'but', 'really', 'im', 'just', 'fulfilling', 'my', 'wish', 'of', 'killing', 'rhymes', 'which', 'is', 'really', 'childish', 'and', 'silly', ',', 'but', 'im', 'really', 'like', 'this', 'im', 'giving', 'nightmares', 'to', 'billie', 'e', '##ilis', '##h', ',', 'im', 'did', '##dy', '##s', 'side', 'bitch', 'what', 'the', 'fuck', 'hold', 'on', ',', 'wait', '""', 'im', 'did', '##dy', '##s', 'side', 'bitch', '""', 'oh', ',', 'im', 'still', 'east', 'side', ',', 'bitch', '<', 'end', '##verse', '>', '<', 'start', '##verse', '>', 'so', 'til', 'the', 'end', ',', 'since', 'ep', '##md', 'been', 'gi', '##vin', 'ya', '##ll', 'the', 'business', '(', 'yeah', ')', ',', 'dr', '##e', 'and', 'me', '(', 'yu', '##p', ')', 'from', 'the', 'mm', '##lp', 'to', 'mt', '##bm', '##b', '(', 'bitch', ')', 'bitch', ',', 'its', '2020', ',', 'you', 'still', 'ain', '##t', 'see', '##in', 'me', '(', 'ha', '##ha', ')', 'so', 'call', 'me', 'santa', 'claus', '(', 'santa', 'claus', ')', 'cause', 'at', 'the', 'present', '(', 'yeah', ')', ',', 'i', 'out', '##ra', '##p', 'em', 'all', '(', 'wrap', 'em', 'all', ')', ',', 'im', 'at', 'the', 'mall', 'got', 'your', 'bitch', 'in', 'a', 'bathroom', 'stall', ',', 'she', 'could', 'suck', 'a', 'basketball', '(', 'uh', ')', 'through', 'a', 'plastic', 'straw', '(', 'yeah', ')', 'with', 'a', 'fractured', 'jaw', '(', 'damn', ')', 'my', 'dick', 'is', 'coat', 'check', '(', 'ha', ')', ',', 'she', 'wanna', 'jack', 'it', 'off', '(', 'yeah', ')', 'im', 'so', 'far', 'past', 'the', 'bar', ',', 'i', 'should', 'practice', 'law', 'mentally', ',', 'im', 'fucked', 'up', 'generally', '(', 'general', 'lee', ')', '(', 'du', '##h', ')', 'dukes', 'of', 'ha', '##zza', '##rd', 'car', '(', 'yeah', ')', ',', 'get', 'the', 'cad', '##aver', 'dogs', 'cause', 'this', 'is', 'murder', ',', 'murder', 'and', 'you', '##ll', 'get', 'mu', '##rked', ',', 'mu', '##rked', 'this', 'music', 'bout', 'to', 'kill', 'you', ',', 'br', '##r', ',', 'br', '##r', '(', 'br', '##r', ')', 'this', 'chicken', 'hit', 'my', 'phone', ',', 'she', 'said', ',', '""', 'chi', '##rp', ',', 'chi', '##rp', '""', 'i', 'said', ',', '""', 'hut', ',', 'hut', ',', 'hike', 'your', 'skirt', ',', 'skirt', '""', 'then', 'go', 'eat', 'some', 'worms', ',', 'like', 'the', 'early', 'bird', 'what', 'the', 'fuck', 'is', 'love', 'that', '##s', 'a', 'dirty', 'word', 'make', 'me', 'fall', 'in', 'it', ',', 'there', '##s', 'not', 'a', 'girl', 'on', 'earth', 'or', 'any', 'other', 'planet', ',', 'that', '##s', 'a', 'world', 'of', 'hurt', 'and', 'i', 'won', '##t', 'buy', 'a', 'designer', ',', 'cause', 'i', 'don', '##t', 'pan', '##der', '(', 'panda', ')', 'but', 'im', 'back', 'with', 'so', 'many', 'knots', ',', 'i', 'need', 'a', 'chi', '##rop', '##rac', '##tor', '(', 'damn', ')', 'and', 'this', 'the', 'final', 'chapter', '(', 'why', ')', ',', 'cause', 'im', 'either', 'fry', '##ing', 'after', '(', 'oh', ')', 'or', 'they', 'go', '##n', 'give', 'me', 'the', 'needle', '(', 'what', ')', 'like', 'a', 'vinyl', 'scratch', '##er', '(', 'dj', ')', 'yeah', ',', 'im', 'a', 'card', ',', 'like', 'hallmark', 'at', 'wal', '##mart', 'with', 'a', 'small', 'cart', 'buying', 'wall', 'art', 'and', 'ya', '##ll', 'who', 'claim', 'to', 'be', 'dogs', 'aren', '##t', 'no', 'bite', ',', 'like', 'a', 'tree', ',', 'mostly', 'just', 'all', 'bark', ',', 'ar', '##f', ',', 'ar', '##f', 'but', 'ya', '##ll', 'pick', '##in', 'the', 'wrong', 'tree', ',', 'they', 'call', 'me', 'dog', 'because', 'im', 'barking', '(', 'bar', 'king', ',', 'bark', ',', 'bark', ',', 'barking', ')', 'and', 'i', 'got', 'a', 'lot', ',', 'yeah', ',', 'like', 'where', 'cars', 'park', 'id', 'describe', 'it', 'as', 'bowling', '(', 'why', ')', 'ball', 'hard', '(', 'balls', 'hard', ')', 'cause', 'the', 'gut', '##ters', 'where', 'my', 'mind', 'is', 'and', 'when', 'its', 'in', 'this', 'frame', ',', 'better', 'split', 'like', 'the', 'five', 'and', 'the', 'ten', 'cause', 'without', 'a', 'second', 'to', 'spare', ',', 'im', 'st', '##rik', '##in', 'again', 'and', 'when', 'the', 'beat', 'is', 'up', 'my', 'alley', ',', 'i', 'go', 'right', 'for', 'the', 'pens', '(', 'pins', ')', 'the', 'cy', '##pher', 'begins', 'im', 'talk', '##in', 'smack', 'like', 'heroin', ',', 'the', 'mic', '##s', 'a', 'sy', '##ring', '##e', 'its', 'like', 'a', 'bing', '##e', ',', 'vic', '##od', '##in', ',', 'i', 'would', 'like', '##n', 'to', 'tin', 'my', 'mind', 'is', 'a', 'recycling', 'bin', 'there', '##s', 'no', 'place', 'i', 'never', 'been', 'but', 'i', 'never', 'budge', 'and', 'i', 'never', 'bend', 'you', 'hyper', '##ex', '##ten', '##d', 'on', 'me', ',', 'this', 'games', 'life', ',', 'it', 'depends', 'like', 'adult', 'dia', '##pers', 'for', 'men', 'even', 'when', 'im', 'rap', '##pin', 'less', 'stellar', 'its', 'sour', 'grapes', ',', 'i', 'still', 'w', '##hine', ',', 'im', 'the', 'best', 'seller', '(', 'cellar', ')', 'like', 'a', 'trey', 'de', '##uce', ',', 'spray', 'you', 'as', 'these', 'shots', 'penetrate', 'through', 'dr', '##es', 'booth', 'and', 'go', 'straight', 'through', 'your', 'grape', '##fr', '##uit', ',', 'no', 'escape', 'route', 'so', 'you', 'won', '##t', 'leave', 'here', 'just', 'sc', '##ath', '##ed', 'with', 'a', 'few', 'scrape', 'wounds', 'your', 'ass', 'is', 'grass', 'and', 'i', 'am', 'not', 'gonna', 'graz', '##e', 'you', 'but', 'if', 'bars', 'were', 'semi', '##mac', '##s', ',', 'id', 'be', 'the', 'mad', 'hat', '##ter', 'cause', 'i', 'got', 'so', 'many', 'caps', ',', 'and', 'you', 'don', '##t', 'have', 'any', 'straps', '(', 'nah', ')', 'so', 'you', '##d', 'be', 'a', 'fitted', '(', 'yeah', ')', ',', 'so', 'don', '##t', 'act', 'like', 'you', 'fit', '##tin', 'to', 'snap', 'bitch', ',', 'ill', 'pee', '(', 'p', ')', 'on', 'your', 'head', 'like', 'a', 'phillies', 'hat', '(', 'ha', '##ha', ')', 'no', 'stop', '##pin', 'me', ',', 'your', '##e', 'on', 'a', 'window', 'shopping', 'sp', '##ree', 'bitch', ',', 'you', 'probably', 'go', 'broke', 'at', 'the', 'dollar', 'tree', 'you', 'never', 'buy', 'shit', ',', 'all', 'you', 'ever', 'cops', 'a', 'plea', 'your', '##e', 'always', 'punk', '##in', 'out', 'like', 'halloween', 'you', 'rather', 'opt', 'to', 'flee', ',', 'you', 'need', 'to', 'stop', 'it', ',', 'punk', 'ho', '##mie', ',', 'your', '##e', 'not', 'a', 'g', ',', 'act', 'like', 'you', 'got', 'the', 'pump', 'and', 'your', '##e', 'gonna', 'cock', 'the', 'heat', 'or', 'get', 'the', 'g', '##lock', 'and', 'dump', 'bitch', ',', 'if', 'you', 'shot', 'a', 'tree', ',', 'you', 'wouldn', '##t', 'pop', 'the', 'trunk', 'yeah', ',', 'and', 'im', 'buddies', 'with', 'alfred', ',', 'we', 'about', 'to', 'di', '##se', '##mbo', '##we', '##l', 'them', ',', 'gut', 'em', 'and', 'scalp', 'em', ',', 'yeah', 'this', 'is', 'bout', 'to', 'be', 'the', 'blood', '##iest', 'outcome', 'cause', 'we', 'go', '##n', 'make', 'you', 'bleed', 'with', 'every', 'cut', 'from', 'this', 'album', 'so', 'im', 'chop', '##pin', 'em', 'up', 'like', 'da', '##hm', '##er', 'the', 'nut', 'job', 'with', 'the', 'nuts', 'that', 'are', 'bigger', 'than', 'ja', '##bba', 'the', 'hut', '##t', 'im', 'in', 'the', 'cut', ',', 'and', 'im', 'out', 'for', 'the', 'blood', 'its', 'look', '##in', 'like', 'its', 'that', 'time', 'of', 'the', 'month', 'car', '##vin', 'em', 'up', 'with', 'the', 'bars', 'while', 'i', 'sharpe', '##n', 'em', 'up', ',', 'dog', 'and', 'a', 'mu', '##tt', 'im', 'gonna', 'fuck', 'your', 'mom', 'in', 'the', 'butt', 'with', 'a', 'the', '##rm', '##ometer', ',', 'fuck', '##in', 'phenomena', '##l', ',', 'but', 'ya', '##ll', '##ll', 'get', 'cut', 'the', 'fuck', 'up', 'like', 'abdominal', '##s', 'if', 'you', 'don', '##t', 'v', '##mon', '##os', 'i', 'keep', 'drop', '##pin', 'like', 'domino', '##s', ',', 'the', 'formidable', ',', 'ab', '##omi', '##nable', 'st', '##omp', '##in', 'a', 'mud', '##hole', 'in', 'my', 'com', '##p', 'even', 'if', 'its', 'off', 'the', 'top', 'of', 'the', 'dome', 'son', 'em', ',', 'get', 'the', 'copper', '##tone', ',', 'im', 'at', 'the', 'stop', 'and', 'go', 'cop', '##pin', 'the', 'mo', '##p', 'and', 'g', '##lo', 'got', 'your', 'stomach', 'in', 'knots', 'like', 'you', 'swallowed', 'rope', 'you', 'out', 'of', 'pocket', 'though', ',', 'like', 'a', 'mother', '##fu', '##cki', '##n', 'wallet', 'stole', '<', 'end', '##verse', '>', '<', 'start', '##out', '##ro', '>', 'wait', ',', 'why', '##d', 'the', 'beat', 'cut', 'off', 'fuck', 'it', '<', 'end', '##out', '##ro', '>', '<', 'ends', '##ong', '>']"
